noc_code,type_english,name_english,type_french,name_french
65211,Inclusion(s),park receptionist,Inclusion(s),réceptionniste de parc
70020,Inclusion(s),cruise ship line manager,Inclusion(s),gestionnaire de lignes de croisières
72013,Inclusion(s),general foreman/woman - residential construction,Inclusion(s),contremaître général/contremaîtresse générale - construction résidentielle
72013,Inclusion(s),residential construction supervisor,Inclusion(s),contremaître/contremaîtresse en construction résidentielle
72102,Inclusion(s),sheet metal roofer,Inclusion(s),tôlier-couvreur/tôlière-couvreuse
72310,Inclusion(s),log home builder,Inclusion(s),constructeur/constructrice de maisons en bois rond
73400,Inclusion(s),marine railway operator,Inclusion(s),opérateur/opératrice de slip de carénage
74200,Inclusion(s),motor vehicle operator - pole yard,Inclusion(s),conducteur/conductrice de véhicules motorisés - aire de stockage de poteaux
75101,Inclusion(s),grain elevator operator,Inclusion(s),exploitant/exploitante d'élévateur à grains
75110,Inclusion(s),rigger - construction,Inclusion(s),gréeur/gréeuse - construction
75110,Inclusion(s),rigger (except shipbuilding and aircraft assembly),Inclusion(s),monteur/monteuse (sauf construction navale et assemblage d'aéronefs)
82021,Inclusion(s),oil field consultant,Inclusion(s),expert-conseil/experte-conseil de champs pétroliers
82021,Inclusion(s),toolpusher,Inclusion(s),maître sondeur/maître sondeuse
83121,Inclusion(s),seaweed dragger,Inclusion(s),dragueur/dragueuse d'algues
83121,Inclusion(s),shellfish harvester operator,Inclusion(s),opérateur/opératrice de ramasseuse de coquillages
84101,Inclusion(s),seismic buried facilities locator,Inclusion(s),localisateur/localisatrice d'installations sismiques enfouies
85111,Inclusion(s),seismic survey helper,Inclusion(s),aide au levé sismique
90010,Inclusion(s),brewmaster,Inclusion(s),maître brasseur/maître brasseuse
12101,Inclusion(s),hiring supervisor,Inclusion(s),surveillant/surveillante de l'embauchage
13100,Inclusion(s),Public Trustee,Inclusion(s),curateur public/curatrice publique
13100,Inclusion(s),post-secondary examination proctor,Inclusion(s),surveillant/surveillante d'examen au niveau postsecondaire
13100,Inclusion(s),Relocation Commissioner,Inclusion(s),commissaire au relogement
32123,Inclusion(s),cardiac catheterization technologist,Inclusion(s),technologue en cathétérisation cardiaque
33102,Inclusion(s),emergency medical responder (non-paramedical),Inclusion(s),répondant médical d'urgence/répondante médicale d'urgence (non paramédical)
41301,Inclusion(s),play therapist,Inclusion(s),thérapeute par le jeu
41321,Inclusion(s),Vocational Rehabilitation Specialist,Inclusion(s),spécialiste de la réadaptation professionnelle
41402,Inclusion(s),economic forecaster,Inclusion(s),prévisionniste en économie
41406,Inclusion(s),physically fit consultant,Inclusion(s),expert-conseil/experte-conseil en bonne forme physique
41406,Inclusion(s),fitness consultant,Inclusion(s),expert-conseil/experte-conseil en conditionnement physique
43201,Inclusion(s),inmate custodian,Inclusion(s),gardien/gardienne de détenus
44100,Inclusion(s),foster parent,Inclusion(s),parent nourricier
44101,Inclusion(s),accompanying person at birth,Inclusion(s),accompagnant/accompagnante à la naissance
51121,Inclusion(s),Music Director,Inclusion(s),directeur musical/directrice musicale
52100,Inclusion(s),Elementary School Librarian,Inclusion(s),bibliothécaire d'école élémentaire
52100,Inclusion(s),high school librarian,Inclusion(s),bibliothécaire d'école secondaire
52100,Inclusion(s),records clerk,Inclusion(s),préposé/préposée aux archives
52114,Inclusion(s),weather reporter,Inclusion(s),reporteur/reportrice météo
53100,Inclusion(s),historical interpreter,Inclusion(s),interprète historique
53111,Inclusion(s),cinematographic machine operator,Inclusion(s),opérateur/opératrice de machines cinématographiques
54100,Inclusion(s),ski slope patroller,Inclusion(s),patrouilleur/patrouilleuse de pentes de ski
54100,Inclusion(s),lifeguard,Inclusion(s),sauveteur/sauveteuse
54100,Inclusion(s),Search and Rescue Team Member - Sports and Recreation,Inclusion(s),membre d'équipe de recherche et de sauvetage - sports et loisirs
62101,Inclusion(s),merchandiser,Inclusion(s),marchandiseur/marchandiseuse
72102,Inclusion(s),metal sheet roofer,Inclusion(s),couvreur/couvreuse de feuilles métalliques
72102,Inclusion(s),sheet metal roofer,Inclusion(s),couvreur-tôlier/couvreuse-tôlière
